"Surface","WRank","LRank","Year","Sex"
"Clay",24,62,2000,"M"
"Clay",12,44,2000,"M"
"Clay",29,61,2000,"M"
"Clay",28,56,2000,"M"
"Clay",65,214,2000,"M"
"Clay",249,51,2000,"M"
"Clay",57,74,2000,"M"
"Clay",25,19,2000,"M"
"Clay",40,48,2000,"M"
"Clay",20,136,2000,"M"
"Clay",15,131,2000,"M"
"Clay",37,70,2000,"M"
"Clay",59,43,2000,"M"
"Clay",79,77,2000,"M"
"Clay",33,85,2000,"M"
"Clay",39,52,2000,"M"
"Clay",288,27,2000,"M"
"Clay",68,38,2000,"M"
"Clay",47,121,2000,"M"
"Clay",46,120,2000,"M"
"Clay",35,21,2000,"M"
"Clay",30,75,2000,"M"
"Clay",54,18,2000,"M"
"Clay",31,86,2000,"M"
"Clay",53,45,2000,"M"
"Clay",249,54,2000,"M"
"Clay",17,57,2000,"M"
"Clay",25,31,2000,"M"
"Clay",40,12,2000,"M"
"Clay",20,79,2000,"M"
"Clay",15,65,2000,"M"
"Clay",37,33,2000,"M"
"Clay",8,59,2000,"M"
"Clay",39,3,2000,"M"
"Clay",4,69,2000,"M"
"Clay",13,68,2000,"M"
"Clay",46,28,2000,"M"
